urn;text;company_mention_count;profile_mention_count;hyperlink_count;hyperlink_internal_count;hyperlink_external_count;hashtag_count;detected_language;content_type;share_audience;time_zone_name;time_zone_offset_in_minutes;reaction_count;comment_count;direct_comment_count;share_count;view_count;did_self_like;did_company_like;company_reaction;synchronized_reaction_count;synchronized_comment_count;synchronized_share_count;synchronized_stats_at;reshared_share_urn;post_scheduled_date;post_created_at;post_updated_at;post_published_at;post_deleted_at;impression_count;tags;post_url;image_urls;document_url;posted_by_profile;posted_by_company;posted_in_group;reaction_count_like;reaction_count_interest;reaction_count_praise;reaction_count_empathy;reaction_count_entertainment;reaction_count_appreciation;reaction_count_maybe;text_characters;text_words;text_paragraphs;text_sentences;text_reading_time_ms;text_readability_index
urn:li:share:7301998572009349121;"Seu ambiente propicia a criação de Ilhas de Conhecimento? 

Cuidado para o DW não virar uma terra sem lei nem documentação. 

Não adianta seu banco ter centenas de tabelas se ninguém sabe o que elas fazem, ou então, somente uma ou outra pessoa conhece elas. 

E quando essas pessoas saem e elas vão sair algum dia, esse conhecimento se perde e ninguém mais sabe o que tem no banco. 

Neste sentido a criação de um catálogo de dados é uma ideia muito interessante, não só para documentar os dados, mas também para fomentar o uso deles. 

Esse é um dos temas que venho estudando e aos poucos aplicando. 

Então muito provavelmente vocês verão algumas postagens mais detalhadas sobre o tema de Catálogo de dados. 

Postar sobre isso faz eu fixar ainda mais o conhecimento.";0;0;0;0;0;0;pt;Image;public;;;71;12;;1;;;;;71;12;1;2025-03-06T21:48:04.164Z;;;2025-03-06T12:00:16.074Z;2025-03-06T12:00:16.074Z;2025-03-06T12:00:16.074Z;;3239;;https://www.linkedin.com/feed/update/urn:li:share:7301998572009349121;https://depository.authoredup.com/images/IMG_nyFtWNMPJWq1jeXVDfAPZynenyLutu;;Thanael Butewicz;;;46;0;2;4;19;0;0;587;148;8;8;35520;6.5
urn:li:share:7300122626083987456;"Acaba uma leitura e outra se inicia, desta vez é sobre Catálogo de Dados. 

A recomendação deste livro veio da Ana Lessa 🎩 e confesso ser um tema que tenho muito interesse. 

No passado já tentei criar um Catálogo de Dados na empresa, porém sem possuir nenhuma base sobre o tema e com o pensamento de ""Ferramenta é mais importante que o processo/conceito"". 

Desta vez quero fazer diferente, vou estudar sobre o conceito e entender o todo, para então começar do jeito certo. 

E como já dizia o Heitor Sasaki: ""Estudo sem prática = Entretenimento"", então meu foco não será ficar só na teoria. 

Vou criar muito conteúdo sobre o livro aqui na rede, afinal, quem ensina (ou tenta) aprende duas vezes. 

Quem sabe posso até fazer um projeto para criação de um Catálogo de Dados do meu DW pessoal que uso nos projetos.  
 
https://amzn.to/418JW3A";0;2;1;0;1;0;pt;Image;public;;;76;8;;1;;;;;76;8;1;2025-03-06T21:48:04.588Z;;;2025-03-05T12:00:10.769Z;2025-03-05T12:00:10.769Z;2025-03-05T12:00:10.769Z;;4519;;https://www.linkedin.com/feed/update/urn:li:share:7300122626083987456;https://depository.authoredup.com/images/IMG_GMA5NPmQHkBdUAnNquHhm8xsUpFy7E;;Thanael Butewicz;;;56;1;8;11;0;0;0;643;154;8;9;36960;6.79
urn:li:share:7301661557254418433;"Lendas Urbanas em SQL - NATURAL JOIN

De Natural é só o nome, pois não é natural utiliza-la.

Iniciamos esta série de Lendas Urbanas apresentando o NATURAL JOIN, que confesso nunca ter visto um em produção. 

Para mim, ele é uma lenda a qual espero nunca encontrar em uma consulta de produção, agora em testes é outra história. 

Assim como o USING, a função do NATURAL JOIN é ser um atalho. 

Ele é uma forma diferente de declarar um INNER JOIN, onde ele faz a junção das tabelas usando como ligação todas as colunas que possuam o mesmo nome. 

Muita atenção a este ""todas as colunas de mesmo nome"". 

Portanto, ele é um atalho para diminuir a consulta e ""facilitar"" fazer o JOIN.

Mas, eu não recomendo você utiliza-lo, mesmo ele diminuindo o tamanho da consulta, se as tabelas tiverem mais campos com mesmo nome, o resultado da consulta não vai ser o que você estava esperando. 

Exemplo se ambas as tabelas tiverem um mesmo campo chamado ""nome"" ele vai tentar usa-lo como parâmetro na ligação. 

Então espero que ele continue como uma Lenda e que não o encontre. 

Mas se encontrar já sabe o que significa, em consultas legadas existe uma maior chance de ele ""Summonar"".

Ainda estou pensando em qual lenda trarei na sequência. 

_____

Se você está buscando uma ""lenda"" em SQL, me manda mensagem.";0;0;0;0;0;0;pt;Image;public;;;89;13;;1;;;;;89;13;1;2025-03-06T21:48:04.201Z;;;2025-03-04T12:00:10.925Z;2025-03-04T12:00:10.925Z;2025-03-04T12:00:10.925Z;;11044;;https://www.linkedin.com/feed/update/urn:li:share:7301661557254418433;https://depository.authoredup.com/images/IMG_MjaR9SnjjwHp5ok6DDkE2AuSJKx1hV;;Thanael Butewicz;;;74;1;4;7;2;1;0;979;237;15;15;56880;5.93
urn:li:share:7300687054009491457;"Lendas Urbanas em SQL? 

Esta é a nova série que pretendo trazer aqui na rede. 

A ideia dela é justamente introduzir alguns dos comandos SQL que foram esquecidos no tempo e entraram em desuso. 

Ou que continuam vivos... nas consultas legadas 😅 

Já até pensei em uma narrativa para a série. 

- Era uma vez, em uma terra longinqua e antiga.
- Onde existiam comandos SQL para todas as situações. 
- Comandos mágicos que resolviam todas as dores, até as que não existiam. 
- Comandos esses que se perderam com a modernidade. 
- Comandos que somente os ""velhos"" se lembram. 
- Ou que foram contados histórias aos mais novos. 
- Histórias como as que trarei nesta série. 

Desculpa, acho que chapei legal agora kkkkkkkkkkkkkk 😅 

Não, não estou usando drogas, só fui escrevendo o que veio na cabeça. 

Mas após ler o livro: ""SQL - Guia Prático"" percebi muitos comandos que em anos de experiência foram raras às vezes que vi eles serem usados na prática. 

E alguns que nunca nem vi serem usados antes. 

Então a minha ideia é justamente trazer um pouco destes comandos aqui para atiçar sua curiosidade. 

Um exemplo de comando é o NATURAL JOIN por onde iniciarei esta série. 

Enfim, antes de trazer de fato a série queria entender a opinião de vocês. 

Acham interessante ou estou chapando muito?  (Não vale os dois) 

______

Recomendo muito a leitura do Livro, já trouxe postagens sobre ele antes. 
Se tem animal na capa é sinônimo de qualidade

https://amzn.to/4kfEiWa";0;0;1;0;1;0;pt;Image;public;;;62;12;;1;;;;;62;12;1;2025-03-06T21:48:04.662Z;;;2025-03-03T12:00:01.263Z;2025-03-03T12:00:01.263Z;2025-03-03T12:00:01.263Z;;3857;;https://www.linkedin.com/feed/update/urn:li:share:7300687054009491457;https://depository.authoredup.com/images/IMG_FXfVxv3va2uCfeRureYyuy3gKSCG1a;;Thanael Butewicz;;;46;6;1;1;8;0;0;1116;267;24;26;64080;3.39
urn:li:share:7301037494223953920;"Qual a linguagem que mais te incentiva a errar? 


R ...";0;0;0;0;0;0;pt;Image;public;;;166;23;;0;;;;;166;23;0;2025-03-06T21:48:04.288Z;;;2025-02-28T12:00:03.430Z;2025-02-28T12:00:03.430Z;2025-02-28T12:00:03.430Z;;11518;;https://www.linkedin.com/feed/update/urn:li:share:7301037494223953920;https://depository.authoredup.com/images/IMG_dWWVEASKL9Dcr6TvDtVajaAnuNGohU;;Thanael Butewicz;;;55;2;0;0;109;0;0;39;10;2;2;2400;1
urn:li:share:7299486599870873600;"Conhece a utilização do USING no SQL? 

Mesmo sendo prático não é muito conhecido.

Ao usar JOIN em SQL comumente usamos a cláusula ON para informar as colunas de ligação entre as tabelas.

Dentro deste contexto é que entra a utilidade do USING. 

O USING é utilizado no lugar do ON quando o nome das colunas que estamos ligando são o mesmo. 

É um atalho para facilitar a criação do JOIN, na teoria parece bem útil. 

Ao invés de ON a.id = b.id basta fazermos USING(id), ao usá-lo não precisamos mais referenciar a tabela quando usarmos esse campo. 

Podemos usar ""id"" normalmente na consulta sem precisar fazer a.id, resolvendo o erro de ""column reference ""id"" is ambiguous""

Porém, informar a tabela.campo sempre é uma ótima prática para se seguir. 

Então, mesmo que o USING tenha sua utilidade, eu particularmente não gosto muito da sua utilização. 

Além de não ser difundido na comunidade, pode ser confuso para quem está iniciando em SQL encontrar este comando nas consultas, assim como o CROSS JOIN implícito. 

Não sabe o que é CROSS JOIN implícito? Relaxa,  é tema para outro post

Em anos de SQL foram poucas às vezes que encontrei um USING. 

________

Está buscando alguém que consegue fazer magia com SQL?
Não sou bom de referências em Harry Potter, mas em SQL eu me garanto. 

E você nem precisa me mandar uma carta através de uma coruja, basta me chamar pelo LinkedIn mesmo.";0;0;3;0;3;0;pt;Image;public;;;1106;77;;18;;;;;1106;77;18;2025-03-06T21:48:14.110Z;;;2025-02-27T12:00:22.810Z;2025-02-27T12:00:22.810Z;2025-02-27T12:00:22.810Z;;114322;;https://www.linkedin.com/feed/update/urn:li:share:7299486599870873600;https://depository.authoredup.com/images/IMG_iv2MahEZufUpc8Up8FzzxEh1D3TdbU;;Thanael Butewicz;;;822;75;14;25;169;1;0;1046;261;17;18;62640;4.7
urn:li:share:7299493199562051584;"Verdades precisam ser ditas. 

Até hoje não conheci ninguém que defende o uso do RIGHT JOIN 🤣 

Nem lembro a última vez que usei um RIGHT JOIN, se em algum momento usei foi por preguiça só para não ter de reorganizar as tabelas. 

É muito legal como ninguém gosta do RIGHT JOIN hahahaha.

E esse é o post.";0;0;0;0;0;0;pt;Image;public;;;789;86;;7;;;;;789;86;7;2025-03-06T21:48:04.056Z;;;2025-02-26T12:00:12.955Z;2025-02-26T12:00:12.955Z;2025-02-26T12:00:12.955Z;;64646;;https://www.linkedin.com/feed/update/urn:li:share:7299493199562051584;https://depository.authoredup.com/images/IMG_ugBaRLJQN6Txbud4Q5PpwvhKCrCRsR;;Thanael Butewicz;;;306;1;7;2;472;1;0;225;60;5;5;14400;2.23
urn:li:share:7299426601883066371;"Já sabe a diferença entre os classificadores de linhas? 

Conheça a diferença entre ROW_NUMBER, RANK e DENSE_RANK.

Ficou confuso quando eu falei Classificadores de Linhas? 

Relaxa é só o termo utilizado, mas, na prática, sempre falamos o nome das funções. 

E as três funções utilizadas para isso são o ROW_NUMBER, o RANK e o DENSE_RANK, e a diferença entre elas é sutil, mas muito importante.

Na imagem abaixo isso fica bem evidente. 

ROW_NUMBER( ): Cria uma sequência de números consecutivos.  (1,2,3,4,5)
RANK( ): Classifica as linhas e pula o número em caso de empate. (1,2,2,4,5)
DENSE_RANK( ): Similar ao RANK, mas sem pular o número.          (1,2,2,3,4)

Lembrando que todos precisam ser usados com o OVER ( )
 
Conhecer essa diferença, faz com que você saiba quando utilizar cada um dependendo do contexto. 

Outra função interessante ainda neste contexto são FIRST_VALUE e LAST_VALUE que vou estar trazendo num próximo post. 

Não dá para entregar todo o ouro numa única postagem 😅 

________

Aliás, se você está procurando alguém que respira SQL para seu time.

Já dizia Roberto Carlos: ""Esse cara sou eu"".";0;0;0;0;0;0;pt;Image;public;;;597;19;;15;;;;;597;19;15;2025-03-06T21:48:04.187Z;;;2025-02-25T12:00:15.740Z;2025-02-25T12:00:15.740Z;2025-02-25T12:00:15.740Z;;50582;;https://www.linkedin.com/feed/update/urn:li:share:7299426601883066371;https://depository.authoredup.com/images/IMG_Ujjowcz64cLLASbFxAm4SGHVNAX7Ug;;Thanael Butewicz;;;495;25;31;41;1;4;0;822;205;16;19;49200;2.85
urn:li:share:7299497577564012544;"Quer uma recomendação de Livro de SQL? 

Terminei de ler ele está semana, minha opinião sobre o livro: 

Mesmo usando SQL há anos, este livro gerou ótimos aprendizados, principalmente para revisar conceitos. 

Muito do que aprendi de SQL veio das ruas 🤣

Quando digo das ruas, significa através da experiência e da necessidade, além de conversar com muitos ""seniores"".
   
Mas esse é um post para outro dia, para não perder o foco. 

O post de hoje é para recomendar a leitura deste livro que é maravilhoso, literalmente um guia de bolso. 

Pena não caber no bolso no sentido literal

É um excelente guia e material de consulta para usar no dia a dia, sim, existem pessoas que ainda consultam informações em livros, e eu sou uma delas. 

Mesmo que a IA possa te responder tudo, eu ainda prefiro confiar no conhecimento obtido através dos livros. 

Então se está procurando uma forma de melhorar seus conhecimentos em SQL, pode ler este livro que você não vai se arrepender.

Muito das minhas postagens mais recentes são baseadas nos aprendizados deste livro. 

https://amzn.to/4hQ7q4L";0;0;1;0;1;0;pt;Image;public;;;236;27;;1;;;;;236;27;1;2025-03-06T21:48:04.508Z;;;2025-02-24T12:00:03.179Z;2025-02-24T12:00:03.179Z;2025-02-24T12:00:03.179Z;;9920;;https://www.linkedin.com/feed/update/urn:li:share:7299497577564012544;https://depository.authoredup.com/images/IMG_d2FaQbjRJbfTHBxip1bVFdBWMrraWh;;Thanael Butewicz;;;189;17;6;24;0;0;0;840;187;13;13;44880;6.92
urn:li:share:7298494430087405569;"Relaxa que analistas nunca passarão fome, sabe por quê? 



Porque eles fazem gráfico de Pizza.";0;0;0;0;0;0;pt;Image;public;;;193;29;;2;;;;;193;29;2;2025-03-06T21:48:04.144Z;;;2025-02-21T12:00:10.263Z;2025-02-21T12:00:10.263Z;2025-02-21T12:00:10.263Z;;11344;;https://www.linkedin.com/feed/update/urn:li:share:7298494430087405569;https://depository.authoredup.com/images/IMG_trMg8U5wTm7AzLyoFx2MpiJXn3soqK;;Thanael Butewicz;;;60;1;1;3;128;0;0;71;17;2;2;4080;2.49
